State,City,Category,Alcohol,Hotel Name,Address,Total Rooms
Gujarat,Rajkot,3 Star,Without Alcohol,Regenta Central Rajkot (Unit of P P Developers),"Everest Park, Kalawad Road",92
Gujarat,Sanand,3 Star,Without Alcohol,Ginger Sanand,"NH 8A, Mahalaxmi Industrial Estate, Village Iyava, Sanand-Viramgam Highway, Ahead Essar petrol pump, Opp Hanuman Mandir, Sanand",104
Gujarat,Saurashtra,3 Star,Without Alcohol,LORDS RESORT A UNIT OF SETU JOY PVT. LTD.,"JOLLY ENJOY, R.S. NO. 64-P1.P2, NATIONAL HIGHWAY 8A, VILLAGE MAGHARIKHADA, TAL. CHOTILA, DIST. SURENDRANAGAR - 363520",42
Gujarat,Surat,3 Star,Without Alcohol,SHILPI HILL RESORT,"SAPUTARA, DIST DANG,GUJARAT",68
Gujarat,Surat,3 Star,Without Alcohol,The Amore Banquets,"Near V R Mall, Next to BPCL Petrol Pump, Magdalla",17
Gujarat,Talaja,3 Star,Without Alcohol,The Postcard Gir Wildlife Sanctuary (A unit of The General's Retreat Gir),"KHATA NUMBER 75,SURVEY NUMBER 57-1A-P8,VILLAGE SANGODARA, Talaja",15
Gujarat,Vadodara,3 Star,Without Alcohol,'The Fern' Akota Vadodara (A unit of Nand Hospitality Pvt. Ltd.) ,"PLOT NO 11, GOKHLE COLONY, BEHIND DINESH MILL, AKOTA Vadodara Vadodara Vadodara",72
Gujarat,Vadodara,3 Star,Without Alcohol,COMFORT INN DONIL (MANISH EMPIRE),"OPP. RTO DARJIPURA, BS VANCHENTA KENDRA, NR. GOLDEN CHOKDI, NH-8 VADODARA 390022",79
Gujarat,Vadodara,3 Star,Without Alcohol,Eastin Residences Vadodara,"78 Sampatrao Colony, Off RC Dutt Road, Alkapuri",44
Gujarat,Vadodara,3 Star,Without Alcohol,HOTEL RAMADA ENCORE ,"UNIT OF SRPL, SHRESHTH BHARAT BHAVAN, STATUE OF UNITY, KEVADIYA COLONY, NARMADA, NANDOD (GUJARAT)-393151",52
Gujarat,Vadodara,3 Star,Without Alcohol,Kabir Hotel and Spa,"Opp. F.G.I. Building, Sevasi Road, Vadodara.",57
Gujarat,Vadodara,3 Star,Without Alcohol,"Regenta Inn by Royal Orchid Hotels, unit of Cube Construction Engineering ltd.","Ved Transcube Plaza, opp. Railway Station, Near Central Bus Stand, Vadodara. ",58
Gujarat,Vadodara,3 Star,Without Alcohol,Suncity LIfestyle,Gotri - Sherkhi Road,37
Gujarat,Vapi,3 Star,Without Alcohol,HOTEL SILVER LEAF VILLAGE,"PLOT NO - 340 P-1 N.H. NO - 56 VILLAGE - KAKADKOPAR , VAPI - DHARAMPUR ROAD , KAKADKOPAR ",17
Gujarat,Viramgam,3 Star,Without Alcohol,HOTEL MIDORI,"PRATHAMA NR HONDA 2 WHEELER PLANT, VIRAMGAM-BECHRAJI HIGHWAY, VITHLAPUR TALUKA MANDAL",38
Haryana,Ambala,3 Star,Without Alcohol,MM CONTINENTAL HOTEL,"NH-73, AMBALA, JAGADHARI HIGHWAY, MULLANA, AMBALA,HARYANA",48
